Date & Time,Usage [kW]
1/7/2023 12:00,0.0400225
1/7/2023 13:00,0.035024167
1/7/2023 14:00,-0.015011389
1/7/2023 15:00,0.027569444
1/7/2023 16:00,-0.016612222
1/7/2023 17:00,-0.016576667
1/7/2023 18:00,-0.0166175
1/7/2023 19:00,-0.016607778
1/7/2023 20:00,-0.016657222
1/7/2023 21:00,-0.016660833
1/7/2023 22:00,-0.016637778
1/7/2023 23:00,-0.016702222
1/8/2023 0:00,-0.016731389
1/8/2023 1:00,-0.016792778
1/8/2023 2:00,-0.016788056
1/8/2023 3:00,-0.016789444
1/8/2023 4:00,-0.016799444
1/8/2023 5:00,-0.016797222
1/8/2023 6:00,-0.016741944
1/8/2023 7:00,-0.011615833
1/8/2023 8:00,0.104456944
1/8/2023 9:00,0.013074444
1/8/2023 10:00,0.018736944
1/8/2023 11:00,0.064026667
1/8/2023 12:00,-0.024346667
1/8/2023 13:00,0.018460556
1/8/2023 14:00,0.066141111
1/8/2023 15:00,0.135565833
1/8/2023 16:00,0.005111111
1/8/2023 17:00,-0.016375556
1/8/2023 18:00,-0.016391667
1/8/2023 19:00,-0.016558056
1/8/2023 20:00,-0.016568611
1/8/2023 21:00,-0.017070556
1/8/2023 22:00,-0.016675
1/8/2023 23:00,-0.016766944
1/9/2023 0:00,-0.016780556
1/9/2023 1:00,-0.016796667
1/9/2023 2:00,-0.016844167
1/9/2023 3:00,-0.0168
1/9/2023 4:00,-0.016718333
1/9/2023 5:00,-0.457166389
1/9/2023 6:00,-5.874255556
1/9/2023 7:00,-3.726241111
1/9/2023 8:00,-0.211070556
1/9/2023 9:00,0.076099444
1/9/2023 10:00,0.092739722
1/9/2023 11:00,0.076342222
1/9/2023 12:00,-0.000764444
1/9/2023 13:00,-0.028330556
1/9/2023 14:00,0.121413889
1/9/2023 15:00,0.140055833
1/9/2023 16:00,0.053350833
1/9/2023 17:00,-0.016411944
1/9/2023 18:00,-0.016604722
1/9/2023 19:00,-0.016736944
1/9/2023 20:00,-0.016785
1/9/2023 21:00,-0.016728611
1/9/2023 22:00,-0.016747222
1/9/2023 23:00,-0.016771944
1/10/2023 0:00,-0.016773333
1/10/2023 1:00,-0.016745556
1/10/2023 2:00,-0.016713333
1/10/2023 3:00,-0.0167675
1/10/2023 4:00,-0.016725833
1/10/2023 5:00,-3.503364444
1/10/2023 6:00,-3.27541
1/10/2023 7:00,-2.113041667
1/10/2023 8:00,-2.986716389
1/10/2023 9:00,0.044299722
1/10/2023 10:00,0.412286389
1/10/2023 11:00,-0.846788333
1/10/2023 12:00,-4.896938889
1/10/2023 13:00,-4.087161111
1/10/2023 14:00,-1.1036125
1/10/2023 15:00,0.077409722
1/10/2023 16:00,0.019476111
1/10/2023 17:00,-0.016246667
1/10/2023 18:00,-0.016286111
1/10/2023 19:00,-0.016365556
1/10/2023 20:00,-0.016389444
1/10/2023 21:00,-0.016379167
1/10/2023 22:00,-0.0163725
1/10/2023 23:00,-0.016421389
1/11/2023 0:00,-0.0164175
1/11/2023 1:00,-0.0164275
1/11/2023 2:00,-0.016442778
1/11/2023 3:00,-0.016455556
1/11/2023 4:00,-0.016352222
1/11/2023 5:00,-0.319806389
1/11/2023 6:00,-6.308924444
1/11/2023 7:00,-1.217573611
1/11/2023 8:00,0.073746389
1/11/2023 9:00,0.065388889
1/11/2023 10:00,0.087676389
1/11/2023 11:00,-0.102281944
1/11/2023 12:00,-3.156043056
1/11/2023 13:00,-3.472594722
1/11/2023 14:00,-3.237488333
1/11/2023 15:00,-1.807845833
1/11/2023 16:00,-0.0158375
1/11/2023 17:00,-0.016054167
1/11/2023 18:00,-0.016063333
1/11/2023 19:00,-0.178465833
1/11/2023 20:00,-0.106631667
1/11/2023 21:00,-0.016140278
1/11/2023 22:00,-0.016164167
1/11/2023 23:00,-0.016239722
1/12/2023 0:00,-0.016220556
1/12/2023 1:00,-0.016274722
1/12/2023 2:00,-0.016349444
1/12/2023 3:00,-0.016354444
1/12/2023 4:00,-0.179389444
1/12/2023 5:00,-3.271569167
1/12/2023 6:00,-3.5919375
1/12/2023 7:00,-3.563060278
1/12/2023 8:00,-1.568202222
1/12/2023 9:00,-0.775441389
1/12/2023 10:00,-1.990590833
1/12/2023 11:00,-0.217390833
1/12/2023 12:00,-0.089471389
1/12/2023 13:00,-2.388214444
1/12/2023 14:00,-2.477071944
1/12/2023 15:00,-6.366527778
1/12/2023 16:00,-1.397544167
1/12/2023 17:00,-0.015871111
1/12/2023 18:00,-0.016044444
1/12/2023 19:00,-0.2052675
1/12/2023 20:00,-0.016903611
1/12/2023 21:00,-0.016891111
1/12/2023 22:00,-0.0170075
1/12/2023 23:00,-0.017080833
1/13/2023 0:00,-0.123532778
1/13/2023 1:00,-0.077039444
1/13/2023 2:00,-0.017108056
1/13/2023 3:00,-0.017095833
1/13/2023 4:00,-0.017065
1/13/2023 5:00,-3.156511667
1/13/2023 6:00,-3.383310833
1/13/2023 7:00,-3.503399722
1/13/2023 8:00,-2.300318056
1/13/2023 9:00,-0.055204722
1/13/2023 10:00,-0.145094444
1/13/2023 11:00,0.092977222
1/13/2023 12:00,-1.844434444
1/13/2023 13:00,-2.603819167
1/13/2023 14:00,-0.073751944
1/13/2023 15:00,0.10775
1/13/2023 16:00,0.026289722
1/13/2023 17:00,-0.017042222
1/13/2023 18:00,-0.017123056
1/13/2023 19:00,-0.017243056
1/13/2023 20:00,-0.017226111
1/13/2023 21:00,-0.017129444
1/13/2023 22:00,-0.017166111
1/13/2023 23:00,-0.017209722
1/14/2023 0:00,-0.017119722
1/14/2023 1:00,-0.017191944
1/14/2023 2:00,-0.017210833
1/14/2023 3:00,-0.145904444
1/14/2023 4:00,-0.017208333
1/14/2023 5:00,-0.017169722
1/14/2023 6:00,-0.0170675
1/14/2023 7:00,-0.017114722
1/14/2023 8:00,0.013736944
1/14/2023 9:00,0.144051389
1/14/2023 10:00,0.142075278
1/14/2023 11:00,0.063905556
1/14/2023 12:00,0.053506667
1/14/2023 13:00,0.065601389
1/14/2023 14:00,0.033696111
1/14/2023 15:00,0.0953975
1/14/2023 16:00,-0.006836944
1/14/2023 17:00,-0.016901667
1/14/2023 18:00,-0.016958611
1/14/2023 19:00,-0.017062222
1/14/2023 20:00,-0.017076111
1/14/2023 21:00,-0.017093056
1/14/2023 22:00,-0.017156667
1/14/2023 23:00,-0.017237778
1/15/2023 0:00,-0.017673333
1/15/2023 1:00,-0.017333056
1/15/2023 2:00,-0.01732
1/15/2023 3:00,-0.017298333
1/15/2023 4:00,-0.017314444
1/15/2023 5:00,-0.017275278
1/15/2023 6:00,-0.017180833
1/15/2023 7:00,-0.0172225
1/15/2023 8:00,0.035605556
1/15/2023 9:00,0.104553611
1/15/2023 10:00,0.14649
1/15/2023 11:00,0.151142778
1/15/2023 12:00,0.112671389
1/15/2023 13:00,0.133759722
1/15/2023 14:00,0.110453333
1/15/2023 15:00,0.060699722
1/15/2023 16:00,-0.006190556
1/15/2023 17:00,-0.016837222
1/15/2023 18:00,-0.016891389
1/15/2023 19:00,-0.016988333
1/15/2023 20:00,-0.017035833
1/15/2023 21:00,-0.017072778
1/15/2023 22:00,-0.0171275
1/15/2023 23:00,-0.017212222
1/16/2023 0:00,-0.017185
1/16/2023 1:00,-0.017225833
1/16/2023 2:00,-0.017241389
1/16/2023 3:00,-0.017269722
1/16/2023 4:00,-0.017299444
1/16/2023 5:00,-0.017216667
1/16/2023 6:00,-0.017105833
1/16/2023 7:00,-0.010352222
1/16/2023 8:00,0.062735278
1/16/2023 9:00,0.068993333
1/16/2023 10:00,0.007389167
1/16/2023 11:00,0.069057222
1/16/2023 12:00,0.071990833
1/16/2023 13:00,0.019852778
1/16/2023 14:00,0.016056111
1/16/2023 15:00,0.060134167
1/16/2023 16:00,0.026430833
1/16/2023 17:00,-0.0168275
1/16/2023 18:00,-0.016951389
1/16/2023 19:00,-0.017036389
1/16/2023 20:00,-0.017101111
1/16/2023 21:00,-0.017133611
1/16/2023 22:00,-0.017229722
1/16/2023 23:00,-0.017273056
1/17/2023 0:00,-0.017317222
1/17/2023 1:00,-0.017365278
1/17/2023 2:00,-0.017393611
1/17/2023 3:00,-0.017407222
1/17/2023 4:00,-0.017405556
1/17/2023 5:00,-2.111287778
1/17/2023 6:00,-6.44841
1/17/2023 7:00,-1.210530278
1/17/2023 8:00,-0.003506944
1/17/2023 9:00,0.032737222
1/17/2023 10:00,-1.497298333
1/17/2023 11:00,-1.403591111
1/17/2023 12:00,-1.073121667
1/17/2023 13:00,-3.762227222
1/17/2023 14:00,-6.464002222
1/17/2023 15:00,-5.128813333
1/17/2023 16:00,-0.019822778
1/17/2023 17:00,-0.016830278
1/17/2023 18:00,-0.016971944
1/17/2023 19:00,-0.0170725
1/17/2023 20:00,-0.017183056
1/17/2023 21:00,-0.017133333
1/17/2023 22:00,-0.017189167
1/17/2023 23:00,-0.3580325
1/18/2023 0:00,-0.017326111
1/18/2023 1:00,-0.017326667
